"시도별",2019,2018,2017,2016,2015,2014,2013
"시도별",1인당 개인소득,1인당 개인소득,1인당 개인소득,1인당 개인소득,1인당 개인소득,1인당 개인소득,1인당 개인소득
"전국",20661,19910,19204,18520,18063,17006,16432
"서울특별시",23978,23323,22237,21295,20857,19832,19525
"부산광역시",19723,18868,18189,17525,17044,16147,15651
"대구광역시",19196,18555,18350,17848,17226,16031,15320
"인천광역시",19582,18659,17884,17222,16598,15507,14829
"광주광역시",20791,19868,18926,18232,17459,16225,15454
"대전광역시",20648,19649,19314,18741,18229,16946,16253
"울산광역시",22617,21655,21956,21422,21348,20142,19782
"세종특별자치시",20674,20990,21404,21000,21957,22944,17607
"경기도",20746,19907,19375,18611,18069,16969,16399
"강원도",19174,18450,17484,16798,16311,15152,14394
"충청북도",18989,18440,17465,16915,16531,15558,14707
"충청남도",19216,18458,17788,16952,16703,15509,14892
"전라북도",18941,18141,17059,16499,16239,15548,14628
"전라남도",19072,18207,17043,16528,16067,15039,14575
"경상북도",18748,18185,17428,16894,16550,15738,15052
"경상남도",19078,18466,18011,17744,17411,16272,15646
"제주특별자치도",18815,18456,17816,17366,16685,15329,14829
