시도별,2013,2014,2015,2016,2017,2018,2019
전국,30038,31010,32658,34167,35977,37014,37596
서울특별시,39570,40577,41857,44111,46715,48362,48693
부산광역시,23500,24980,25773,26883,27592,28287,29259
대구광역시,21992,23391,24660,25551,26561,27004,27700
인천광역시,25483,26978,28034,29689,30990,31363,32873
광주광역시,22992,24674,25687,27373,28759,29759,31186
대전광역시,23858,25308,27125,28124,30102,30529,31566
울산광역시,48678,46025,49381,52205,52237,52694,54190
세종특별자치시,38657,49688,44463,41018,40876,37243,38186
경기도,30631,30892,33028,34591,37588,39150,38929
강원도,21884,23251,24761,25331,27216,28471,29397
충청북도,26094,27125,28839,30527,31951,33672,34889
충청남도,32911,32836,35458,37554,39338,39935,41089
전라북도,21691,22951,24176,24689,25710,26783,28302
전라남도,27940,28657,32733,33786,34542,35159,35673
경상북도,29128,30917,32427,33697,33828,34530,35038
경상남도,26455,28703,29523,30370,31033,30987,32035
제주특별자치도,24020,25400,27314,29342,30863,31193,30710
