행정구역(시군구)별,2013,2014,2015,2016,2017,2018,2019
전국,51141463,51327916,51529338,51696216,51778544,51826059,51849861
서울특별시,10143645,10103233,10022181,9930616,9857426,9765623,9729107
부산광역시,3527635,3519401,3513777,3498529,3470653,3441453,3413841
대구광역시,2501588,2493264,2487829,2484557,2475231,2461769,2438031
인천광역시,2879782,2902608,2925815,2943069,2948542,2954642,2957026
광주광역시,1472910,1475884,1472199,1469214,1463770,1459336,1456468
대전광역시,1532811,1531809,1518775,1514370,1502227,1489936,1474870
울산광역시,1156480,1166377,1173534,1172304,1165132,1155623,1148019
세종특별자치시,122153,156125,210884,243048,280100,314126,340575
경기도,12234630,12357830,12522606,12716780,12873895,13077153,13239666
강원도,1542263,1544442,1549507,1550806,1550142,1543052,1541502
충청북도,1572732,1578933,1583952,1591625,1594432,1599252,1600007
충청남도,2047631,2062273,2077649,2096727,2116770,2126282,2123709
전라북도,1872965,1871560,1869711,1864791,1854607,1836832,1818917
전라남도,1907172,1905780,1908996,1903914,1896424,1882970,1868745
경상북도,2699440,2700794,2702826,2700398,2691706,2676831,2665836
경상남도,3333820,3350257,3364702,3373871,3380404,3373988,3362553
제주특별자치도,593806,607346,624395,641597,657083,667191,670989
